name,url,description
Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,SHL assessment for Leadership skills evaluation
Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,SHL assessment for Leadership skills evaluation
Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,SHL assessment for Leadership skills evaluation
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,SHL assessment for evaluating job-related skills
Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,SHL assessment for Verbal reasoning assessment
Shl Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL assessment for evaluating job-related skills
Marketing,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,SHL assessment for Marketing skills evaluation
English Comprehension,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,SHL assessment for evaluating job-related skills
Drupal,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,SHL assessment for evaluating job-related skills
Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,SHL assessment for evaluating job-related skills
Occupational Personality Questionnaire Opq32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL assessment for Personality assessment
Search Engine Optimization,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,SHL assessment for evaluating job-related skills
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,SHL assessment for Selenium automation testing
Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,SHL assessment for evaluating job-related skills
Javascript,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,"SHL assessment for Java programming skills assessment, JavaScript programming test"
Htmlcss,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,"SHL assessment for HTML/CSS web development skills, CSS styling and design skills"
Css3,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,SHL assessment for CSS styling and design skills
Selenium,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,SHL assessment for Selenium automation testing
Sql Server,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,SHL assessment for SQL database skills assessment
Automata Sql,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,SHL assessment for SQL database skills assessment
Manual Testing,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,SHL assessment for evaluating job-related skills
Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,SHL assessment for evaluating job-related skills
Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,SHL assessment for Numerical reasoning test
Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,SHL assessment for evaluating job-related skills
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,SHL assessment for evaluating job-related skills
General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,SHL assessment for evaluating job-related skills
Basic Computer Literacy Windows 10,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,SHL assessment for evaluating job-related skills
Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,SHL assessment for evaluating job-related skills
Microsoft Excel 365 Essentials,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,SHL assessment for evaluating job-related skills
Digital Advertising,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,SHL assessment for evaluating job-related skills
Writex Email Writing Sales,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,SHL assessment for Sales skills and aptitude assessment
Shl Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL assessment for Numerical reasoning test
Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,SHL assessment for evaluating job-related skills
Sql Server Analysis Services %28Ssas%29 %28New%29,https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,SHL assessment for SQL database skills assessment
Python,https://www.shl.com/solutions/products/product-catalog/view/python-new/,SHL assessment for Python programming skills test
Tableau,https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,SHL assessment for evaluating job-related skills
Microsoft Excel 365,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,SHL assessment for evaluating job-related skills
Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,SHL assessment for evaluating job-related skills
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,SHL assessment for evaluating job-related skills
